.melbourne: whois.nic.melbourne
.new: whois.nic.google
.信息: whois.teleinfo.cn
.嘉里: whois.nic.xn--w4rs40l
.star: whois.nic.star
.kyoto: whois.nic.kyoto
.stcgroup: whois.nic.stcgroup
.mg: whois.nic.mg
.nec: whois.nic.nec
.ferrari: whois.nic.ferrari
.nhk: whois.nic.nhk
.ml: whois.dot.ml
.lancia: whois.afilias-srs.net
.nowtv: whois.nic.nowtv
.kz: whois.nic.kz
.nokia: whois.afilias-srs.net
.paris: whois-paris.nic.fr
.parts: whois.nic.parts
.mit: whois.afilias-srs.net
.mk: whois.marnet.mk
.nissan: whois.nic.gmo
.бел: whois.cctld.by
.nissay: whois.nic.nissay
.news: whois.nic.news
.mo: whois.monic.mo
.ninja: whois.nic.ninja
.ms: whois.nic.ms
.party: whois.nic.party
.pe: kero.yachay.pe
.panasonic: whois.nic.gmo
.mn: whois.nic.mn
.pet: whois.afilias.net
.mobile: whois.nic.mobile
.新闻: whois.nic.xn--efvy88h
.sap: whois.nic.sap
.latino: whois.nic.latino
.yodobashi: whois.nic.gmo
.qa: whois.registry.qa
.monster: whois.nic.monster
.mom: whois.uniregistry.net
.lawyer: whois.nic.lawyer
.游戏: whois.nic.xn--unup4y
.monash: whois.nic.monash
.photography: whois.nic.photography
.ky: whois.kyregistry.ky
.legal: whois.nic.legal
.phone: whois.nic.phone
.భారత్: whois.registry.in
‏.همراه‎: whois.nic.xn--mgbt3dhd
.网站: whois.nic.xn--5tzm5g
.lgbt: whois.afilias.net
.to: whois.tonic.to
.works: whois.nic.works
.richardli: whois.nic.richardli
.pl: whois.dns.pl
.scb: whois.nic.scb
.cx: whois.nic.cx
.reviews: whois.nic.reviews
.pics: whois.uniregistry.net
.rich: whois.afilias-srs.net
.place: whois.nic.place
‏.عراق‎: whois.cmc.iq
.sy: whois.tld.sy
.sca: whois.nic.sca
.solutions: whois.nic.solutions
.rmit: whois.nic.rmit
.ro: whois.rotld.ro
.ril: whois.nic.ril
.pizza: whois.nic.pizza
.taxi: whois.nic.taxi
.schmidt: whois.nic.schmidt
.rightathome: whois.nic.rightathome
.rip: whois.nic.rip
.ricoh: whois.nic.ricoh
.電訊盈科: whois.nic.xn--fzys8d69uvgm
.集团: whois.gtld.knet.cn
.rent: whois.nic.rent
.sarl: whois.nic.sarl
.zone: whois.nic.zone
.la: whois.nic.la
.lamborghini: whois.afilias-srs.net
.rocks: whois.nic.rocks
.қаз: whois.nic.kz
.mckinsey: whois.nic.mckinsey
.saxo: whois.nic.saxo
.youtube: whois.nic.google
.rugby: whois.nic.rugby
.statebank: whois.nic.statebank
.rio: whois.gtlds.nic.br
.room: whois.nic.room
.rodeo: whois.nic.rodeo
.ru: whois.tcinet.ru
.rogers: whois.afilias-srs.net
.soy: whois.nic.google
.sport: whois.nic.sport
.safe: whois.nic.safe
.safety: whois.nic.safety
‏.قطر‎: whois.registry.qa
.sale: whois.nic.sale
.salon: whois.nic.salon
.հայ: whois.amnic.net
.გე: whois.itdc.ge
.samsung: whois.nic.samsung
.repair: whois.nic.repair
.新加坡: whois.sgnic.sg
.大众汽车: whois.nic.xn--3oq18vl8pn36a
.机构: whois.publicinterestregistry.net
.组织机构: whois.nic.xn--nqv7fs00ema
‏.شبكة‎: whois.nic.xn--ngbc5azd
.natura: whois.gtlds.nic.br
.nikon: whois.nic.nikon
.tc: whois.nic.tc
.top: whois.nic.top
.republican: whois.nic.republican
.symantec: whois.nic.symantec
.supply: whois.nic.supply
.studio: whois.nic.studio
.meet: whois.nic.google
.world: whois.nic.world
.tci: whois.nic.tci
.support: whois.nic.support
.save: whois.nic.save
.sbi: whois.nic.sbi
.联通: whois.nic.xn--8y0a063a
.help: whois.uniregistry.net
.xxx: whois.registrar.adult
.微博: whois.nic.xn--9krt00a
.td: whois.nic.td
.бг: whois.imena.bg
.ink: whois.nic.ink
.llc: whois.afilias.net
.nl: whois.domain-registry.nl
.today: whois.nic.today
.tech: whois.nic.tech
.training: whois.nic.training
.teva: whois.nic.teva
.tiffany: whois.nic.tiffany
.plumbing: whois.nic.plumbing
.vig: whois.afilias-srs.net
.мкд: whois.marnet.mk
.tickets: whois.nic.tickets
.travelers: whois.afilias-srs.net
.lamer: whois.nic.lamer
.சிங்கப்பூர்: whois.sgnic.sg
.scor: whois.nic.scor
.security: whois.nic.security
